Aglibol
Anat
Arsay
Arsu
Ashtar-Chemosh
Asherah
El
Elkunirsa
Amurru
Anu
Ashima
Atargatis
Attar
Azizos
Baalah
Baal
Belili
Ba'alat Gebal
Ba'al
Hadad
Baalshamin
Ba'al Hermon
Baal Hammon
Baalshamin
Baal-zephon
Bel
Bethoron
Chemosh
Dagon
El
Elyon
Eshmun
Gad
Horon
Ishara
Anat
Kotharat
Kothar-wa-Khasis
Liluri
Lotan
Malakbel
Manuzi
Marqod
Melqart
Tyre
Milcom
Ammonites
Misor
Moloch
Mot
Nikkal-wa-Ib
Qadeshtu
Pidray
Resheph
Shadrafa
Shachar
Shalim
Shamayim
Shapash
Shamash
Sydyk
Tallay
Yam
Yarhibol
Yarikh
