An
Anu
Enlil
Nunamnir
Enki
Nudimmud
Ninshiku
Ea
Utu
Shamash
Nanna-Suen
Nanna
Enzu
Zuen
Suen
Sin
Nergal
Nabu
Marduk
Inanna
Ishtar
Ninurta
Ningirsu
Abzu
Anshar
Kishar
Ki
Nammu
Tiamat
Ashur
Dagan
Dagon
Tammuz
Dumuzid
Ereshkigal
Geshtinanna
Gilgamesh
Gula
Nintinugga
Ninkarrak
Meme
Bau
Ninisina
Ishkur
Adad
Istaran
Nanshe
Ninazu
Ningal
Nikkal
Ningishzida
Ninhursag
Damgalnuna
Ninmah
Ninlil
Ninshubur
Nisaba
Ama-arhus
Amasagnul
Amashilama
Antu
Anunītu
Asarluhi
Ashgi
Ashnan
Aruru
Bel of Babylon
Belet-Seri
Birtum
Bunene
Damu
Dingirma
Dumu-zi-abzu
Emesh
Enkimdu
Enmesharra
Ennugi
Enten
Enzag
Erra
Erragal
Errakal
Gareus
Gatumdug
Gibil
Gugalanna
Gunura
Hahanu
Hanbi
Hani
Haya
Hayasum
Hegir-Nuna
Gangir
Hendursag
Ig-alima
Ilaba
Ilabrat
Imdugud
Išḫara
Isimud
Ishum
Kakka
Kittu
Kus
Lahar
Lahmu
Lamashtu
Lisin
Lugalbanda
Lugal-irra
Meslamta-ea
Lulal
Mami
Mama
Mandanu
Martu
Misharu
Nanaya
Neti
Ningikuga
Nin-imma
Nindara
Ningilin
Ningirima
Ninkasi
Ninkurra
Ninmena
Ninmug
Ninnisig
Ninsar
Ninsianna
Ninsikila
Ninsun
Nintu
Nirah
Numushda
Nungal
Nusku
Pabilshag
Pazuzu
Šarrat-Dēri
Shara
Sherida
Shullat
Shul-pa-e
Shul-utula
Sirtur
Šul-šagana
Siduri
Silili
Sumugan
Tashmetu
Uraš
Uttu
Zababa
