Falak
Hinn
Binn
Tannin
Yam
Apep
Isfet
Nu
Set
Leviathan
Tehom
Tiamat
Midgard
Nidhogg
Surtr
Tmir
Dionysus
Hydra
Typhon
Lerna
Illuyanka
Vritra
Angra Mainyu
Cipactli
Juracan
Tau
Unhcegilia
Abyss
Chasm
Chaos
Emperor
